Resolution (R),Average Compute Time (ms),Occlusion Rate
10,0.036571999080479145,1.0
12,0.03396499902009964,1.0
14,0.04818999907001853,1.0
16,0.09307500207796693,0.98
18,0.144207994453609,0.96
20,1.1893619957845658,0.62
22,1.269314003875479,0.9
24,1.4188979973550886,0.5
26,1.7992699926253408,0.27
28,2.557707001687959,0.23
30,2.9234470042865723,0.0
32,2.7860150020569563,0.1
34,3.5082939954008907,0.08
36,3.9049149944912642,0.02
38,5.018361007096246,0.49
40,6.059452001936734,0.0
42,6.229496991727501,0.0
44,7.002072993200272,0.0
46,8.548930995166302,0.0
48,9.685906005324796,0.0
50,10.485304000321776,0.0
52,10.758707997156307,0.0
54,13.133606004994363,0.0
56,14.153460008092225,0.0
58,15.875593994278463,0.0
60,17.620741998543963,0.0
62,19.652090002782643,0.0
64,20.22632000502199,0.0
66,21.855013000313193,0.9
68,24.83356799115427,0.53
70,30.099944005487487,0.53
72,33.126257001422346,0.0
74,33.14750799792819,0.0
76,34.02068699710071,0.61
78,36.34740699781105,0.0
80,40.21339500322938,0.0
82,47.16231600847095,0.47
84,50.08781599579379,0.35
86,51.657402999699116,0.61
88,56.640149996383116,0.0
90,61.423007000703365,0.47
92,66.555300996406,0.44
94,70.6363159941975,0.0
96,74.78671799879521,0.0
98,75.88642800576054,0.0
100,81.58228699816391,0.0
